rrf_k,protect_top,city,variant,recall,ndcg,valid_recall,valid_ndcg
25.0,5,NYC,q25_sum,0.16860101206875683,0.08926399535662033,0.903831557466503,0.5337663659476238
25.0,5,NYC,q30_50_20_sum,0.16860101206875683,0.08926475295015124,0.903831557466503,0.5339142106972196
25.0,5,NYC,q25_alpha_transfer_tuned,0.16385241768479294,0.08796870973623391,0.9096329421321125,0.5361076994792803
25.0,5,NYC,q25_valid_r_plus_2n,0.16860101206875683,0.08932619042345936,0.9037452011704694,0.5338277011364161
25.0,6,NYC,q30_sum,0.16860101206875683,0.08916582608477805,0.9037452011704694,0.5331954769438115
25.0,6,NYC,q20_sum,0.16860101206875683,0.0891819330124314,0.903831557466503,0.5333523009272403
25.0,6,NYC,q25_sum,0.16860101206875683,0.0891811754189005,0.903831557466503,0.533244833932576
25.0,6,NYC,q30_50_20_sum,0.16860101206875683,0.0891819330124314,0.903831557466503,0.5333523009272403
25.0,6,NYC,q25_alpha_transfer_tuned,0.16509311247387481,0.08814239965732518,0.9096329421321125,0.5354945218257923
25.0,6,NYC,q25_valid_r_plus_2n,0.16860101206875683,0.08925678745367205,0.9037452011704694,0.5333095581640573
25.0,4,Singapore,q30_sum,0.4671217462280286,0.24581764343265686,0.8215795593383923,0.4842646043940821
25.0,4,Singapore,q20_sum,0.46699484267472907,0.24588747003775235,0.8215795593383923,0.48428232311666564
25.0,4,Singapore,q25_sum,0.4679677699166918,0.2461248737648183,0.8215795593383923,0.48434708207996735
25.0,4,Singapore,q30_50_20_sum,0.46699484267472907,0.24588747003775235,0.8215795593383923,0.48428232311666564
25.0,4,Singapore,q25_alpha_transfer_tuned,0.45557352287777475,0.2434271932708125,0.8330008791353466,0.4872577650546595
25.0,4,Singapore,q25_valid_r_plus_2n,0.4679677699166918,0.2461248737648183,0.8215795593383923,0.48434708207996735
25.0,5,Singapore,q30_sum,0.4671217462280286,0.24532260956692795,0.8215795593383923,0.48385955393830266
25.0,5,Singapore,q20_sum,0.46699484267472907,0.2453559353152438,0.8215795593383923,0.48369618666083536
25.0,5,Singapore,q25_sum,0.4679677699166918,0.24562983989908937,0.8215795593383923,0.4838086366798506
25.0,5,Singapore,q30_50_20_sum,0.46699484267472907,0.2453559353152438,0.8215795593383923,0.48369618666083536
25.0,5,Singapore,q25_alpha_transfer_tuned,0.45557352287777475,0.24293875743621315,0.8330008791353466,0.48720788891201033
25.0,5,Singapore,q25_valid_r_plus_2n,0.4679677699166918,0.24562983989908937,0.8215795593383923,0.4838086366798506
25.0,6,Singapore,q30_sum,0.45950753303005903,0.242989706526696,0.8215795593383923,0.4835387845787021
25.0,6,Singapore,q20_sum,0.4593806294767596,0.24302303227501196,0.8215795593383923,0.483433472767668
25.0,6,Singapore,q25_sum,0.4603535567187223,0.24329693685885745,0.8215795593383923,0.4835459227866832
25.0,6,Singapore,q30_50_20_sum,0.4593806294767596,0.24302303227501196,0.8215795593383923,0.483433472767668
25.0,6,Singapore,q25_alpha_transfer_tuned,0.4564195465664381,0.24255089556936205,0.8330008791353466,0.48689277292446564
25.0,6,Singapore,q25_valid_r_plus_2n,0.4603535567187223,0.24329693685885745,0.8215795593383923,0.4835459227866832
25.0,4,Tokyo,q30_sum,0.13243503867804673,0.07631964956013051,0.7859613354067878,0.4520500021917089
25.0,4,Tokyo,q20_sum,0.1326218597310095,0.07625489048372154,0.7863957826286476,0.4520148319323745
25.0,4,Tokyo,q25_sum,0.13280999180890538,0.07647318272451477,0.7859613354067878,0.451983917819703
25.0,4,Tokyo,q30_50_20_sum,0.1326218597310095,0.07625489048372154,0.7863957826286476,0.4520148319323745
25.0,4,Tokyo,q25_alpha_transfer_tuned,0.13327868322247866,0.07654458350529632,0.7943977808511073,0.4547518836127567
25.0,4,Tokyo,q25_valid_r_plus_2n,0.13280999180890538,0.07647318272451477,0.7859613354067878,0.451983917819703
25.0,5,Tokyo,q30_sum,0.13243503867804673,0.07628385279784004,0.7859613354067878,0.4519035827143397
25.0,5,Tokyo,q20_sum,0.13253533208542675,0.07616980875971187,0.7863855566341698,0.45184917655508605
25.0,5,Tokyo,q25_sum,0.13280999180890538,0.07640503199693487,0.7859613354067878,0.45183749834233383
25.0,5,Tokyo,q30_50_20_sum,0.13253533208542675,0.07616980875971187,0.7863855566341698,0.45184917655508605
25.0,5,Tokyo,q25_alpha_transfer_tuned,0.13215382382990273,0.07616969207583241,0.7943977808511073,0.45447153348902053
25.0,5,Tokyo,q25_valid_r_plus_2n,0.13280999180890538,0.07640503199693487,0.7859613354067878,0.45183749834233383
25.0,6,Tokyo,q30_sum,0.13243503867804673,0.07624383958449661,0.7859613354067878,0.4514770872688628
25.0,6,Tokyo,q20_sum,0.13253533208542675,0.07614325524785853,0.7863855566341698,0.4514213297382538
25.0,6,Tokyo,q25_sum,0.13280999180890538,0.07635294430332301,0.7859613354067878,0.45139867894413344
25.0,6,Tokyo,q30_50_20_sum,0.13253533208542675,0.07614325524785853,0.7863855566341698,0.4514213297382538
25.0,6,Tokyo,q25_alpha_transfer_tuned,0.13215382382990273,0.07612317530615687,0.7943977808511073,0.4538176075792637
25.0,6,Tokyo,q25_valid_r_plus_2n,0.13280999180890538,0.07635294430332301,0.7859613354067878,0.45139867894413344
